epoch,global_step,cos_grad_data_no_slip,cos_grad_data_momentum,cos_grad_data_continuity,cos_grad_data_inlet_bc,cos_grad_data_rcr_bc,grad_norm_data,grad_norm_physics,gradient_norm,gradient_clip_flag,no_slip_raw,inlet_bc_raw,data_total,pde_total,loss_ratio_raw,lambda_phy,lambda_target,lambda_clamped_high,ema_data,ema_physics
19,2650,0.3175590932369232,0.0,0.0,0.023914648219943047,-0.6061233282089233,0.33809894323349,0.0,0.32540667057037354,False,0.007728092838078737,0.006024109199643135,0.09131965041160583,0.0,91319650411.60583,0.0,0.0,False,0.821535077418517,0.0
19,2700,-0.8366705775260925,0.0,0.0,0.7353971004486084,0.09960221499204636,1.4122495651245117,0.0,1.5490304231643677,True,0.11796393990516663,0.19959226250648499,2.421218156814575,0.0,2421218156814.575,0.0,0.0,False,0.8110000092520893,0.0
19,2750,0.30193963646888733,0.0,0.0,0.3076021075248718,0.21493446826934814,1.7783831357955933,0.0,1.919864535331726,True,0.022688772529363632,0.009318448603153229,0.3786992132663727,0.0,378699213266.3727,0.0,0.0,False,0.9175844838222685,0.0
20,2800,-0.36780568957328796,0.0,0.0,0.3941163122653961,-0.06783029437065125,0.44875073432922363,0.0,0.4392617344856262,False,0.02094665914773941,0.00894141010940075,0.7870977520942688,0.0,787097752094.2688,0.0,0.0,False,1.0183073711986388,0.0
20,2850,0.5330922603607178,0.0,0.0,-0.4693810045719147,-0.4746766984462738,0.5712378621101379,0.0,0.5166176557540894,False,0.0023069209419190884,0.009700640104711056,0.6498579382896423,0.0,649857938289.6423,0.0,0.0,False,0.9150303268357918,0.0
21,2900,0.36890891194343567,0.0,0.0,0.20604166388511658,0.2592031955718994,1.0741533041000366,0.0,1.1620171070098877,True,0.016642557457089424,0.0032707639038562775,1.599218726158142,0.0,1599218726158.142,0.0,0.0,False,0.9089165987221215,0.0
21,2950,-0.17172199487686157,0.0,0.0,0.12606696784496307,-0.14404378831386566,0.2945343852043152,0.0,0.3656587600708008,False,0.008420515805482864,0.04222759231925011,0.04032205790281296,0.0,40322057902.81296,0.0,0.0,False,0.7220776737319786,0.0
21,3000,-0.6982483863830566,0.0,0.0,0.6054967641830444,-0.4876450002193451,0.956349790096283,0.0,0.9535595178604126,False,0.01914134994149208,0.01676654815673828,0.47472068667411804,0.0,474720686674.11804,0.0,0.0,False,0.7994647863019262,0.0
22,3050,0.2238023579120636,0.0,0.0,0.190773144364357,-0.3599522113800049,0.27983853220939636,0.0,0.2915721535682678,False,0.011712582781910896,0.004961115308105946,0.06459741294384003,0.0,64597412943.84003,0.0,0.0,False,0.9286145987819135,0.0
22,3100,0.4050142168998718,0.0,0.0,0.2858580946922302,0.2465975135564804,0.7323793768882751,0.0,0.8160053491592407,False,0.00949179008603096,0.006079004146158695,0.2716273069381714,0.0,271627306938.1714,0.0,0.0,False,0.985141688672557,0.0
